499 {'ptime': 1665410400, 'popen': 19315.02, 'phigh': 19341.48, 'plow': 19291.77, 'pclose': 19327.9, 'ma7': 0, 'ma25': 0, 'ma99': 0, 'below': False, 'above': True} 19114.24 19134.63
440 {'ptime': 1665807300, 'popen': 19199.93, 'phigh': 19200.0, 'plow': 19175.82, 'pclose': 19184.69, 'ma7': 19194.147142857146, 'ma25': 19180.416800000003, 'ma99': 19438.989292929295, 'below': False, 'above': False} 19037.39 19211.98
439 {'ptime': 1665806400, 'popen': 19200.99, 'phigh': 19211.98, 'plow': 19191.12, 'pclose': 19199.93, 'ma7': 19190.170000000002, 'ma25': 19176.737200000003, 'ma99': 19445.550404040405, 'below': False, 'above': False} 19037.39 19217.8
438 {'ptime': 1665805500, 'popen': 19196.46, 'phigh': 19217.8, 'plow': 19188.15, 'pclose': 19200.99, 'ma7': 19183.654285714285, 'ma25': 19175.7732, 'ma99': 19451.466868686868, 'below': False, 'above': False} 19037.39 19217.8
437 {'ptime': 1665804600, 'popen': 19192.48, 'phigh': 19204.49, 'plow': 19186.93, 'pclose': 19196.46, 'ma7': 19180.385714285716, 'ma25': 19174.1888, 'ma99': 19457.85797979798, 'below': False, 'above': False} 19037.39 19217.8
436 {'ptime': 1665803700, 'popen': 19183.4, 'phigh': 19199.94, 'plow': 19181.37, 'pclose': 19192.48, 'ma7': 19179.414285714283, 'ma25': 19174.444000000003, 'ma99': 19464.097878787878, 'below': False, 'above': False} 19037.39 19217.8
435 {'ptime': 1665802800, 'popen': 19197.54, 'phigh': 19200.59, 'plow': 19178.59, 'pclose': 19183.59, 'ma7': 19180.602857142858, 'ma25': 19174.0852, 'ma99': 19470.066565656565, 'below': False, 'above': False} 19037.39 19217.8
434 {'ptime': 1665801900, 'popen': 19188.23, 'phigh': 19198.45, 'plow': 19176.5, 'pclose': 19197.08, 'ma7': 19178.594285714287, 'ma25': 19174.325599999996, 'ma99': 19476.30242424242, 'below': False, 'above': False} 19037.39 19217.8
433 {'ptime': 1665801000, 'popen': 19172.09, 'phigh': 19206.23, 'plow': 19169.76, 'pclose': 19188.24, 'ma7': 19180.4, 'ma25': 19174.3692, 'ma99': 19483.09494949495, 'below': True, 'above': False} 19037.39 19217.8
432 {'ptime': 1665800100, 'popen': 19155.38, 'phigh': 19178.41, 'plow': 19147.85, 'pclose': 19172.55, 'ma7': 19185.238571428574, 'ma25': 19174.14, 'ma99': 19488.8302020202, 'below': True, 'above': False} 19037.39 19217.8
431 {'ptime': 1665799200, 'popen': 19173.58, 'phigh': 19173.8, 'plow': 19133.24, 'pclose': 19156.09, 'ma7': 19192.71142857143, 'ma25': 19174.652, 'ma99': 19491.757676767673, 'below': True, 'above': False} 19037.39 19217.8
430 {'ptime': 1665798300, 'popen': 19185.68, 'phigh': 19196.1, 'plow': 19171.76, 'pclose': 19173.58, 'ma7': 19198.027142857143, 'ma25': 19175.7724, 'ma99': 19494.044343434336, 'below': False, 'above': False} 19037.39 19217.8
429 {'ptime': 1665797400, 'popen': 19191.72, 'phigh': 19209.91, 'plow': 19172.23, 'pclose': 19185.68, 'ma7': 19196.777142857143, 'ma25': 19177.042, 'ma99': 19496.28656565656, 'below': False, 'above': False} 19037.39 19217.8
428 {'ptime': 1665796500, 'popen': 19183.48, 'phigh': 19200.64, 'plow': 19178.24, 'pclose': 19192.41, 'ma7': 19196.722857142857, 'ma25': 19178.0628, 'ma99': 19498.42939393939, 'below': False, 'above': False} 19037.39 19217.8
427 {'ptime': 1665795600, 'popen': 19200.87, 'phigh': 19209.58, 'plow': 19181.21, 'pclose': 19183.14, 'ma7': 19193.937142857143, 'ma25': 19179.2772, 'ma99': 19500.87515151515, 'below': False, 'above': False} 19037.39 19218.71
426 {'ptime': 1665794700, 'popen': 19205.96, 'phigh': 19218.71, 'plow': 19195.98, 'pclose': 19200.86, 'ma7': 19189.492857142854, 'ma25': 19177.661999999997, 'ma99': 19502.36616161616, 'below': False, 'above': False} 19037.39 19218.71
425 {'ptime': 1665793800, 'popen': 19207.69, 'phigh': 19209.65, 'plow': 19171.87, 'pclose': 19205.03, 'ma7': 19182.902857142857, 'ma25': 19180.2628, 'ma99': 19504.079494949496, 'below': False, 'above': False} 19037.39 19218.71
424 {'ptime': 1665792900, 'popen': 19210.79, 'phigh': 19214.52, 'plow': 19191.86, 'pclose': 19207.68, 'ma7': 19176.234285714283, 'ma25': 19183.9708, 'ma99': 19505.65818181818, 'below': False, 'above': False} 19037.39 19227.68
423 {'ptime': 1665792000, 'popen': 19176.93, 'phigh': 19227.68, 'plow': 19174.69, 'pclose': 19211.46, 'ma7': 19163.83714285714, 'ma25': 19190.0524, 'ma99': 19507.49525252525, 'below': False, 'above': False} 19037.39 19227.68
422 {'ptime': 1665791100, 'popen': 19191.34, 'phigh': 19197.38, 'plow': 19171.19, 'pclose': 19176.93, 'ma7': 19155.317142857144, 'ma25': 19196.7112, 'ma99': 19509.79151515151, 'below': False, 'above': False} 19037.39 19227.68
421 {'ptime': 1665790200, 'popen': 19163.98, 'phigh': 19193.0, 'plow': 19154.25, 'pclose': 19191.34, 'ma7': 19143.402857142857, 'ma25': 19202.7592, 'ma99': 19512.22151515151, 'below': False, 'above': False} 19037.39 19227.68
420 {'ptime': 1665789300, 'popen': 19169.76, 'phigh': 19180.0, 'plow': 19147.74, 'pclose': 19162.76, 'ma7': 19145.24714285714, 'ma25': 19208.1836, 'ma99': 19515.023737373733, 'below': False, 'above': False} 19037.39 19227.68
419 {'ptime': 1665788400, 'popen': 19159.83, 'phigh': 19189.6, 'plow': 19141.28, 'pclose': 19169.76, 'ma7': 19143.402857142853, 'ma25': 19213.5236, 'ma99': 19517.603333333325, 'below': False, 'above': False} 19037.39 19227.68
418 {'ptime': 1665787500, 'popen': 19161.01, 'phigh': 19166.41, 'plow': 19140.0, 'pclose': 19159.83, 'ma7': 19148.978571428568, 'ma25': 19221.48, 'ma99': 19519.98262626262, 'below': False, 'above': False} 19037.39 19227.68
417 {'ptime': 1665786600, 'popen': 19124.01, 'phigh': 19165.0, 'plow': 19123.31, 'pclose': 19161.01, 'ma7': 19150.895714285718, 'ma25': 19228.137600000002, 'ma99': 19522.408383838378, 'below': True, 'above': False} 19037.39 19227.68
416 {'ptime': 1665785700, 'popen': 19117.29, 'phigh': 19146.21, 'plow': 19112.25, 'pclose': 19125.11, 'ma7': 19162.25857142857, 'ma25': 19233.5708, 'ma99': 19525.08363636363, 'below': True, 'above': False} 19037.39 19227.68
415 {'ptime': 1665784800, 'popen': 19107.94, 'phigh': 19138.0, 'plow': 19086.99, 'pclose': 19116.17, 'ma7': 19172.54857142857, 'ma25': 19243.222800000003, 'ma99': 19527.84797979797, 'below': True, 'above': False} 19037.39 19227.68
414 {'ptime': 1665783900, 'popen': 19176.89, 'phigh': 19181.18, 'plow': 19070.37, 'pclose': 19107.94, 'ma7': 19180.894285714287, 'ma25': 19253.767600000006, 'ma99': 19530.849090909083, 'below': True, 'above': False} 19037.39 19227.68
413 {'ptime': 1665783000, 'popen': 19156.85, 'phigh': 19183.17, 'plow': 19131.43, 'pclose': 19175.92, 'ma7': 19179.65, 'ma25': 19262.699600000004, 'ma99': 19532.927070707065, 'below': True, 'above': False} 19037.39 19227.68
